,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,0,0,0,0,-1,-1,-2,-2,-3,-3,-3,-4,-5,-4,-4,-5,-5,-5
1,1,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-3,-4,-5,-3,-4,-4,-4,-4
2,1,1,0,0,0,0,0,0,0,-1,-1,-1,-2,-3,-4,-5,-3,-3,-3,-3,-3
3,1,1,1,1,0,0,0,0,0,0,0,-1,-2,-3,-4,-5,-2,-2,-2,-2,-2
4,1,1,1,1,1,0,0,0,0,0,0,-1,-2,-3,-4,-1,-1,-1,-1,-1,-1
5,1,1,1,1,1,1,0,0,0,0,0,-1,-2,-3,0,0,0,0,0,0,-1
6,2,1,1,1,1,1,1,1,0,0,0,-1,-2,0,0,0,0,0,0,0,0
7,2,2,1,1,1,1,1,1,1,0,0,-1,-2,0,0,0,0,0,0,0,0
8,3,2,2,1,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0
9,3,3,2,2,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0
10,4,3,3,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
11,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
12,5,4,3,3,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,0
13,5,4,4,3,3,3,3,3,1,1,0,-1,3,3,3,3,3,3,1,1,0
14,5,5,4,4,4,4,4,1,1,1,0,-1,1,1,1,1,1,1,1,1,0
15,5,5,5,5,5,5,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,0
16,5,5,4,4,3,2,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,0
17,5,5,5,4,3,2,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,0
18,5,5,5,4,3,2,2,1,1,1,0,-1,1,1,1,1,1,1,1,1,0
19,5,5,5,4,3,3,2,1,1,1,0,-1,1,1,1,1,1,1,1,1,0
20,5,5,5,4,4,3,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0
